debate,character,text
1A,John Delaney,"You know, last year in our country, 80 percent of the money for start-up businesses went to 50 counties in this country."
1A,John Delaney,"There's over 3,000 counties in this country. That's what they care about. They care about what's going on in the public schools. They care about what's going on with jobs in their communities, with their pay, with their health care, with infrastructure. These are the issues, these kind of kitchen-table, pocket-book issues..."
1A,Maddow,Understood.
1A,John Delaney,... are actually what most Americans care about. They never ask about the Mueller Report.
1A,Todd,"Hang on. Let me give 30 seconds, Senator Klobuchar, the iron range. I'm curious. Gun confiscation, right? If the government is buying back, how do you not have that conversation?"
1A,John Delaney,They never ask about it. They want to know how we're going to solve these problems.
1A,Maddow,Your time's...
1A,Todd,Here's the thing. I still -- Senator...
1A,Amy Klobuchar,"... but if we let the Republicans run our elections and if do not do something about Russian interference in the election and we let Mitch McConnell stop all the backup paper ballots, then we're not going to get what we want to do."
1A,Todd,"I've got to sneak in -- we blew through a break, which was good news, to give you more time, so I got to sneak one in now. More of this debate. It's picking up here. It continues right after this."
1A,Lester Holt,"We are back from Miami, and it's time now for closing statements. Each candidate has 45 seconds. We want to begin with former Congressman Delaney."
1A,John Delaney,Closing now?
1A,Lester Holt,"Closing, 45 seconds. We could make -- we could go on."
1A,John Delaney,"Together we are on a mission. We're on a mission to find the America that's been lost, lost through infighting, lost through inaction. We're so much better than this. We're a country that used to do things. We saved the world. We created the American dream for millions of people like myself, the grandson of immigrants, the son of a union electrician who went on to become a successful business leader and create thousands of jobs."
1A,John Delaney,"But we did these things with real solutions, not with impossible promises. And those are the roots that we have to get back to. I'm running for president to solve these problems, to build infrastructure, to fix our broken health care system, to invest in communities that have been left behind, to improve public education."
1A,Lester Holt,Your...
1A,John Delaney,I just don't want to be your president to be your president.
1A,Lester Holt,"Congressman, your 45 seconds is over."
1A,John Delaney,I want to be your president to do the job.
1A,Lester Holt,"Thank you, sir."
1A,John Delaney,This is not about me. This is about getting America working again.
1A,Lester Holt,Thank you.
1A,Bill De Blasio,"It matters. It matters in this fight for the heart and soul of our party that we nominate a candidate who has seen the face of poverty and didn't just talk about it, but gave people $15 minimum wage."
1A,Bill De Blasio,It matters that we nominate a candidate who saw the destruction wrought by a broken health care system and gave people universal health care. It matters that we choose someone who saw the wasted potential of our children denied pre-K and gave it to every single one of them for free.
1A,Bill De Blasio,"These things really matter. And these are the things that I've done in New York and I want to do the same for this whole country, because putting working people first, it matters. We need to be that party again. Let's work together. With your help, we can put working people first again in America."
1A,Guthrie,"Thank you, Mayor De Blasio. Right on time."
1A,Jay Inslee,"(OFF-MIKE) grandchildren, we love them all. And when I was thinking about whether to run for president, I made a decision. I decided that on my last day on Earth, I wanted to look them in the eye and tell them I did everything humanly possible to protect them from the ravages of the climate crisis."
